movie_id,actor_name,character,cast_order
433,Karen Dotrice,Jane Banks,5
433,Matthew Garber,Michael Banks,6
433,Elsa Lanchester,Katie Nanna,7
433,Arthur Treacher,Constable,8
433,Reginald Owen,Admiral Boom,9
433,Ed Wynn,Uncle Albert,10
490,Gunnar Björnstrand,Jöns,0
490,Bengt Ekerot,Death,1
490,Nils Poppe,Jof,2
490,Max von Sydow,Antonius Block,3
490,Bibi Andersson,Mia,4
490,Inga Gill,Lisa,5
490,Maud Hansson,Witch,6
490,Inga Landgré,Karin,7
490,Gunnel Lindblom,Mute Girl,8
490,Bertil Anderberg,Raval,9
490,Anders Ek,Monk,10
492,John Cusack,Craig Schwartz,0
492,Cameron Diaz,Lotte Schwartz,1
492,John Malkovich,John Horatio Malkovich,2
492,Catherine Keener,Maxine Lund,3
492,Orson Bean,Dr. Lester,4
492,Mary Kay Place,Floris,5
492,W. Earl Brown,First J.M. Inc. Customer,6
492,Carlos Jacott,Larry the Agent,7
492,Willie Garson,Guy in Restaurant,8
492,Byrne Piven,Captain Mertin,9
492,Gregory Sporleder,Drunk at Bar,10
497,Tom Hanks,Paul Edgecomb,0
497,David Morse,Brutus 'Brutal' Howell,1
497,Bonnie Hunt,Jan Edgecomb,2
497,Michael Clarke Duncan,John Coffey,3
497,James Cromwell,Warden Hal Moores,4
497,Michael Jeter,Eduard Delacroix,5
497,Graham Greene,Arlen Bitterbuck,6
497,Doug Hutchison,Percy Wetmore,7
497,Sam Rockwell,'Wild Bill' Wharton,8
497,Barry Pepper,Dean Stanton,9
497,Jeffrey DeMunn,Harry Terwilliger,10
526,Matthew Broderick,Phillipe Gaston,0
526,Rutger Hauer,Captain Etienne Navarre,1
526,Michelle Pfeiffer,Isabeau d'Anjou,2
526,Alfred Molina,Cezar,3
526,John Wood,Bishop of Aquila,4
526,Leo McKern,Father Imperius,5
526,Ken Hutchison,Marquet,6
526,Giancarlo Prete,Fornac,7
526,Loris Loddi,Jehan,8
526,Charles Borromel,Insane Prisoner,9
526,Massimo Sarchielli,Innkeeper,10
561,Keanu Reeves,John Constantine,0
561,Rachel Weisz,Angela Dodson / Isabel Dodson,1
561,Shia LaBeouf,Chas Kramer,2
561,Djimon Hounsou,Midnite,3
561,Max Baker,Beeman,4
561,Pruitt Taylor Vince,Father Hennessy,5
561,Gavin Rossdale,Balthazar,6
561,Tilda Swinton,Gabriel,7
561,Peter Stormare,Lucifer,8
561,Jesse Ramirez,Scavenger,9
561,José Zúñiga,Detective Weiss,10
564,Brendan Fraser,Rick O'Connell,0
564,Rachel Weisz,Evelyn Carnahan,1
564,John Hannah,Jonathan Carnahan,2
564,Arnold Vosloo,Imhotep,3
564,Patricia Velásquez,Anck-Su-Namun,4
564,Oded Fehr,Ardeth Bay,5
564,Kevin J. O'Connor,Beni Gabor,6
564,Jonathan Hyde,Allen Chamberlain,7
564,Erick Avari,Terence Bey,8
564,Stephen Dunham,Isaac Henderson,9
564,Corey Johnson,David Daniels,10
587,Ewan McGregor,Ed Bloom (young),0
587,Albert Finney,Ed Bloom (senior),1
587,Billy Crudup,Will Bloom,2
587,Jessica Lange,Sandra Bloom (senior),3
587,Helena Bonham Carter,Jenny (young & senior) / The Witch,4
587,Alison Lohman,Sandra Bloom (young),5
587,Robert Guillaume,Dr. Bennett (senior),6
587,Marion Cotillard,Josephine,7
587,Matthew McGrory,Karl the Giant,8
587,David Denman,Don Price (age 18-22),9
587,Missi Pyle,Mildred,10
601,Henry Thomas,Elliott,0
601,Drew Barrymore,Gertie,1
601,Robert MacNaughton,Michael,2
601,Peter Coyote,Keys,3
601,Dee Wallace,Mary,4
601,Erika Eleniak,Pretty Girl,5
601,K.C. Martel,Greg,6
601,C. Thomas Howell,Tyler,7
601,Sean Frye,Steve,8
601,David M. O'Dell,Schoolboy,9
601,Richard Swingler,Science Teacher,10
620,Bill Murray,Peter Venkman,0
620,Dan Aykroyd,Ray Stantz,1
620,Sigourney Weaver,Dana Barrett,2
620,Harold Ramis,Egon Spengler,3
620,Rick Moranis,Louis Tully,4
620,Annie Potts,Janine Melnitz,5
620,William Atherton,Walter Peck,6
620,Ernie Hudson,Winston Zeddemore,7
620,Slavitza Jovan,Gozer,8
620,David Margulies,Mayor,9
620,Steven Tash,Male Student,10
628,Tom Cruise,Lestat,0
628,Brad Pitt,Louis,1
628,Antonio Banderas,Armand,2
628,Christian Slater,Malloy,3
628,Stephen Rea,Santiago,4
628,Kirsten Dunst,Claudia,5
628,Domiziana Giordano,Madeleine,6
628,Thandiwe Newton,Yvette,7
628,Laure Marsac,Mortal Woman on Stage,8
628,John McConnell,Gambler,9
628,Mike Seelig,Pimp,10
630,Judy Garland,Dorothy Gale,0
630,Ray Bolger,"""Hunk"" / Scarecrow",1
630,Jack Haley,"""Hickory"" / Tin Man",2
630,Bert Lahr,"""Zeke"" / Cowardly Lion",3
630,Frank Morgan,Professor Marvel / The Wizard of Oz,4
630,Margaret Hamilton,Miss Gulch / Wicked Witch of the West,5
630,Billie Burke,Glinda,6
