movie_id,title,release_date,release_year,rating,popularity,category,runtime,budget,revenue,director,overview,roi_percent
129,Spirited Away,2001-07-20,2001,8.5,30.4319,Fairy Tale,125,19000000,274925095,Hayao Miyazaki,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",1346.97
137,Groundhog Day,1993-02-11,1993,7.6,8.8606,Fantasy Epic,101,14600000,71108778,Harold Ramis,"A cynical TV weatherman, along with his idealistic producer and his sardonic cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",387.05
141,Donnie Darko,2001-01-19,2001,7.8,11.9113,Fantasy Epic,114,4500000,7500000,Richard Kelly,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",66.67
144,Wings of Desire,1987-09-23,1987,7.8,4.0734,Fantasy Epic,128,2500000,3548590,Wim Wenders,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds — with some words of wisdom from actor Peter Falk — that it might be possible for him to take human form.",41.94
162,Edward Scissorhands,1990-12-07,1990,7.7,13.1997,Fantasy Epic,105,20000000,86024005,Tim Burton,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,330.12
173,"20,000 Leagues Under the Sea",1954-12-23,1954,7.1,5.9458,Fantasy Epic,127,5000000,28200000,Richard Fleischer,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",464.0
244,King Kong,1933-04-07,1933,7.6,7.1054,Dark Fantasy,104,672000,10001781,Merian C. Cooper,"Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.",1388.36
251,Ghost,1990-07-13,1990,7.2,11.997,Dark Fantasy,127,22000000,505000000,Jerry Zucker,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",2195.45
252,Willy Wonka & the Chocolate Factory,1971-06-29,1971,7.5,8.2717,Fantasy Epic,100,3000000,4000000,Mel Stuart,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",33.33
268,Batman,1989-06-21,1989,7.2,11.7481,Sword and Sorcery,126,35000000,411348924,Tim Burton,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne fights crime in Gotham City disguised as Batman, a costumed hero who strikes fear into the hearts of villains. But when a deformed madman known as 'The Joker' seizes control of Gotham's criminal underworld, Batman must face his most ruthless nemesis ever while protecting both his identity and his love interest, reporter Vicki Vale.",1075.28
277,Underworld,2003-09-19,2003,6.8,8.2916,Dark Fantasy,122,22000000,95708457,Len Wiseman,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",335.04
285,Pirates of the Caribbean: At World's End,2007-05-19,2007,7.3,17.1393,Sword and Sorcery,169,300000000,961691209,Gore Verbinski,"After losing Captain Jack Sparrow to the locker of Davy Jones, Will Turner, Elizabeth Swann, and Captain Barbossa journey to the ends of the earth to rescue him. And as the East India Trading Company tightens its grip on the seas under Lord Cutler Beckett—now in control of Davy Jones—the fate of piracy hangs by a thread. Now, they must unite the pirate lords for one final stand. But as loyalties are tested and alliances shift, each must ultimately choose where they stand in the battle for freedom on the high seas.",220.56
297,Meet Joe Black,1998-11-12,1998,7.4,12.7718,Fantasy Epic,178,90000000,142940100,Martin Brest,"Bill Parrish has it all - success, wealth and power. Days before his 65th birthday, he receives a visit from a mysterious stranger, Joe Black, who soon reveals himself as Death. In exchange for extra time, Bill agrees to serve as Joe's earthly guide. But will he regret his choice when Joe unexpectedly falls in love with Bill's beautiful daughter Susan?",58.82
300,The Science of Sleep,2006-06-25,2006,7.0,2.9763,Fantasy Epic,106,6000000,9524340,Michel Gondry,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,58.74
310,Bruce Almighty,2003-05-23,2003,6.7,9.1238,Fantasy Epic,101,80000000,484592874,Tom Shadyac,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God — and the Almighty responds, endowing Bruce with all of His divine powers.",505.74
364,Batman Returns,1992-06-19,1992,6.9,11.5533,Sword and Sorcery,126,80000000,280000000,Tim Burton,"The monstrous Penguin, who dwells in the sewers beneath Gotham, joins up with corrupt mayoral candidate Max Shreck to topple the Batman once and for all. But when Shreck's timid assistant Selina Kyle finds out, and Shreck tries to kill her, she's transformed into the sexy Catwoman. She teams up with the Penguin and Shreck to destroy Batman, but sparks fly unexpectedly when she confronts the caped crusader.",250.0
408,Snow White and the Seven Dwarfs,1938-01-14,1938,7.1,12.2399,Fairy Tale,83,1488423,184925486,David Hand,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",12324.26
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,2005,7.1,19.768,Fantasy Epic,143,180000000,745013115,Andrew Adamson,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",313.9
414,Batman Forever,1995-06-16,1995,5.5,6.0306,Sword and Sorcery,121,100000000,336529144,Joel Schumacher,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.",236.53
433,Mary Poppins,1964-12-17,1964,7.5,9.9055,Fantasy Epic,139,4650000,103100000,Robert Stevenson,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",2117.2
490,The Seventh Seal,1957-02-16,1957,8.2,5.5328,Fantasy Epic,96,150000,311212,Ingmar Bergman,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",107.47
492,Being John Malkovich,1999-10-29,1999,7.4,7.3552,Fantasy Epic,113,13000000,22863596,Spike Jonze,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",75.87
497,The Green Mile,1999-12-10,1999,8.5,27.8367,Fantasy Epic,189,60000000,286801374,Frank Darabont,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",378.0
526,Ladyhawke,1985-03-27,1985,7.0,6.1507,Fantasy Epic,121,20000000,18432000,Richard Donner,"Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.",-7.84
561,Constantine,2005-02-08,2005,7.1,14.7618,Dark Fantasy,121,100000000,230900000,Francis Lawrence,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",130.9
564,The Mummy,1999-04-16,1999,7.0,27.7621,Sword and Sorcery,124,80000000,415885488,Stephen Sommers,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,419.86
587,Big Fish,2003-12-10,2003,7.8,10.6322,Fantasy Epic,125,70000000,123200000,Tim Burton,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",76.0
601,E.T. the Extra-Terrestrial,1982-06-11,1982,7.5,13.1138,Fantasy Epic,115,10500000,797307407,Steven Spielberg,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",7493.4
620,Ghostbusters,1984-06-08,1984,7.5,12.2757,Fantasy Epic,107,30000000,296640120,Ivan Reitman,"After losing their university jobs, three parapsychologists start a ghost-catching business in New York City and uncover a supernatural threat that could destroy the world.",888.8
628,Interview with the Vampire,1994-11-11,1994,7.4,10.3466,Dark Fantasy,123,60000000,223664608,Neil Jordan,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",272.77
630,The Wizard of Oz,1939-08-15,1939,7.6,15.3094,Fantasy Epic,102,2777000,33754967,Victor Fleming,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1115.52
647,Final Fantasy VII: Advent Children,2005-07-14,2005,7.2,3.6128,Sword and Sorcery,101,0,0,Tetsuya Nomura,"Two years have passed since the final battle with Sephiroth. Though Midgar, city of mako, city of prosperity, has been reduced to ruins, its people slowly but steadily walk the road to reconstruction. However, a mysterious illness called Geostigma torments them. With no cure in sight, it brings death to the afflicted, one after another, robbing the people of their fledgling hope.",
648,Beauty and the Beast,1946-10-29,1946,7.5,2.2847,Fantasy Epic,96,0,0,Jean Cocteau,"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",
653,Nosferatu,1922-02-16,1922,7.7,5.2907,Dark Fantasy,89,0,24194,F. W. Murnau,"The mysterious Count Orlok summons a happily married real estate agent to his castle, located up in the Transylvanian mountains, to finalise a terrifying deal.",
671,Harry Potter and the Philosopher's Stone,2001-11-16,2001,7.9,31.8187,Fantasy Epic,152,125000000,976475550,Chris Columbus,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",681.18
672,Harry Potter and the Chamber of Secrets,2002-11-13,2002,7.7,22.3922,Fantasy Epic,161,100000000,876688482,Chris Columbus,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage.",776.69
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,2004,8.0,22.8558,Fantasy Epic,141,130000000,789804554,Alfonso Cuarón,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",507.54
674,Harry Potter and the Goblet of Fire,2005-11-16,2005,7.8,22.2917,Fantasy Epic,157,150000000,895921036,Mike Newell,"When his name emerges from the Goblet of Fire, Harry Potter becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons, and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",497.28
675,Harry Potter and the Order of the Phoenix,2007-07-08,2007,7.7,20.7572,Fantasy Epic,138,150000000,938212738,David Yates,"Returning for his fifth year at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of motivated students to defend themselves against the Dark Arts.",525.48
756,Fantasia,1940-11-13,1940,7.3,8.0663,Fairy Tale,124,2280000,76411819,Wilfred Jackson,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",3251.4
762,Monty Python and the Holy Grail,1975-04-03,1975,7.8,8.8972,Fantasy Epic,91,400000,5763644,Terry Jones,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1340.91
765,Evil Dead II,1987-03-13,1987,7.5,8.3284,Dark Fantasy,84,3500000,10900000,Sam Raimi,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",211.43
766,Army of Darkness,1992-10-31,1992,7.3,7.7216,Dark Fantasy,81,11000000,21502976,Sam Raimi,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.",95.48
767,Harry Potter and the Half-Blood Prince,2009-07-15,2009,7.7,21.2185,Fantasy Epic,153,250000000,933959197,David Yates,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",273.58
779,Vampyr,1932-05-06,1932,7.3,1.7239,Dark Fantasy,74,0,19,Carl Theodor Dreyer,"Allan Gray, a young man fascinated by the supernatural, goes to a small village where he feels a sinister force descending upon him. There, Allan meets an old man who asks him to protect his two daughters, for one of them has been bitten by a vampire.",
795,City of Angels,1998-04-10,1998,6.8,7.4802,Fantasy Epic,114,55000000,198685114,Brad Silberling,"When a guardian angel – who invisibly watches over the citizens of Los Angeles – becomes captivated by a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.",261.25
808,Shrek,2001-05-18,2001,7.8,26.3255,Fairy Tale,90,60000000,488977919,Andrew Adamson,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",714.96
809,Shrek 2,2004-05-19,2004,7.3,16.9036,Fairy Tale,92,150000000,935454538,Conrad Vernon,"Happily ever after never seemed so far far away when a trip to meet the in-laws turns into a hilariously twisted adventure for Shrek and Fiona. With the help of his faithful Donkey, Shrek takes on a potion-brewing Fairy Godmother, the pompous Prince Charming, and the ogre-killer, Puss In Boots.",523.64
810,Shrek the Third,2007-05-17,2007,6.3,11.5553,Fairy Tale,93,160000000,813367380,Chris Miller,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",408.35
812,Aladdin,1992-11-25,1992,7.7,18.4316,Fairy Tale,91,28000000,504050219,Ron Clements,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",1700.18
834,Underworld: Evolution,2006-01-12,2006,6.6,8.0497,Dark Fantasy,106,50000000,111476513,Len Wiseman,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",122.95
847,Willow,1988-05-20,1988,7.0,7.1657,Sword and Sorcery,126,35000000,57300000,Ron Howard,"The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.",63.71
849,Krull,1983-07-29,1983,6.0,8.6483,Sword and Sorcery,121,27000000,16916617,Peter Yates,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,-37.35
854,The Mask,1994-07-29,1994,7.0,14.0876,Fantasy Epic,101,23000000,351583407,Chuck Russell,"Stanley Ipkiss, an insecure banker who has lost his zest for life stumbles upon an ancient mask, that turns him into a confident suave cartoon-like character who upsets his ordinary life.",1428.62
856,Who Framed Roger Rabbit,1988-06-22,1988,7.5,10.7234,Fantasy Epic,104,70000000,329800000,Robert Zemeckis,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",371.14
866,Finding Neverland,2004-10-29,2004,7.3,6.6241,Fantasy Epic,106,25000000,116766556,Marc Forster,"During a writing slump, playwright J.M. Barrie meets a widow and her four children, all young boys—who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece. Peter Pan.",367.07
879,Hook,1991-04-10,1991,6.8,10.4928,Fantasy Epic,142,70000000,300854823,Steven Spielberg,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",329.79
888,The Flintstones,1994-05-27,1994,5.4,7.9418,Fantasy Epic,91,46000000,341631208,Brian Levant,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,642.68
892,Delicatessen,1991-04-17,1991,7.3,3.4962,Fantasy Epic,99,4000000,1794187,Jean-Pierre Jeunet,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",-55.15
902,The City of Lost Children,1995-05-17,1995,7.2,3.7424,Fantasy Epic,112,18000000,1738611,Jean-Pierre Jeunet,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",-90.34
922,Dead Man,1995-12-23,1995,7.3,5.8149,Fantasy Epic,122,9000000,1038000,Jim Jarmusch,"On the run after committing murder, an accountant encounters a strange Native American man who prepares him for his journey into the spiritual world.",-88.47
927,Gremlins,1984-06-08,1984,7.1,10.185,Dark Fantasy,106,11000000,153083102,Joe Dante,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",1291.66
928,Gremlins 2: The New Batch,1990-06-15,1990,6.5,8.1263,Dark Fantasy,106,50000000,41482207,Joe Dante,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",-17.04
991,The Man Who Fell to Earth,1976-03-18,1976,6.5,5.6544,Fantasy Epic,139,1500000,0,Nicolas Roeg,"Thomas Jerome Newton is an alien who has come to Earth in search of water to save his home planet. Aided by lawyer Oliver Farnsworth, Thomas uses his knowledge of advanced technology to create profitable inventions. While developing a method to transport water, Thomas meets Mary-Lou, a quiet hotel clerk, and begins to fall in love with her. Just as he is ready to leave Earth, Thomas is intercepted by the U.S. government, and his entire plan is threatened.",
1024,Heavenly Creatures,1994-09-12,1994,7.0,5.4263,Fantasy Epic,109,5000000,3049135,Peter Jackson,"Precocious teenager Juliet moves to New Zealand with her family and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. This friendship gradually develops into an intense and obsessive bond.",-39.02
1250,Ghost Rider,2007-01-15,2007,5.6,10.8379,Dark Fantasy,114,110000000,228738393,Mark Steven Johnson,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",107.94
1262,Stranger Than Fiction,2006-11-10,2006,7.3,5.1598,Fantasy Epic,113,30000000,53653224,Marc Forster,Harold Crick is a lonely IRS agent whose mundane existence is transformed when he hears a mysterious voice narrating his life.,78.84
1417,Pan's Labyrinth,2006-10-11,2006,7.8,10.1551,Fantasy Epic,118,19000000,83258226,Guillermo del Toro,"In post–civil war Spain, 10-year-old Ofelia moves with her pregnant mother to live under the control of her cruel stepfather. Drawn into a mysterious labyrinth, she meets a faun who reveals that she may be a lost princess from an underground kingdom. To return to her true father, she must complete a series of surreal and perilous tasks that blur the line between reality and fantasy.",338.2
1427,Perfume: The Story of a Murderer,2006-09-13,2006,7.4,10.8292,Fantasy Epic,147,63700000,135039924,Tom Tykwer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",111.99
1433,The Devil's Backbone,2001-04-20,2001,7.3,3.6503,Dark Fantasy,108,4500000,6582065,Guillermo del Toro,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",46.27
1487,Hellboy,2004-04-02,2004,6.7,7.5137,Sword and Sorcery,122,66000000,99318987,Guillermo del Toro,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.",50.48
1491,The Illusionist,2006-08-18,2006,7.3,8.1384,Dark Fantasy,110,16500000,87892388,Neil Burger,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crown prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",432.68
