movie_id,genre_name
137106,Adventure
137106,Comedy
137106,Fantasy
284052,Fantasy
284052,Adventure
284052,Action
492,Comedy
492,Drama
492,Fantasy
76589,Action
76589,Animation
76589,Sci-Fi
76589,Fantasy
508883,Animation
508883,Fantasy
508883,Drama
20982,Animation
20982,Action
20982,Fantasy
481432,Drama
481432,Fantasy
13382,Animation
13382,Family
13382,Adventure
13382,Fantasy
994108,Romance
994108,Drama
994108,Fantasy
26963,Animation
26963,Family
26963,Fantasy
487670,Sci-Fi
487670,Animation
487670,Action
487670,Drama
487670,Fantasy
20558,Animation
20558,Family
20558,Adventure
20558,Comedy
20558,Fantasy
10849,Fantasy
10849,Comedy
10849,Romance
265712,Animation
265712,Adventure
265712,Sci-Fi
265712,Drama
265712,Family
265712,Fantasy
628,Horror
628,Drama
628,Fantasy
876716,Animation
876716,Comedy
876716,Family
876716,Fantasy
20312,Adventure
20312,Fantasy
20312,Drama
17681,Comedy
17681,Family
17681,Fantasy
17681,Animation
271706,Animation
271706,Adventure
271706,Fantasy
58,Adventure
58,Fantasy
58,Action
83533,Sci-Fi
83533,Adventure
83533,Fantasy
36728,Action
36728,Adventure
36728,Comedy
36728,Drama
36728,Fantasy
36728,Animation
81188,Animation
81188,Family
81188,Fantasy
81188,Action
81188,Adventure
2899,Family
2899,Fantasy
2899,Comedy
2899,Adventure
49051,Adventure
49051,Fantasy
49051,Action
4011,Fantasy
4011,Comedy
1427,Crime
1427,Fantasy
1427,Drama
876792,Animation
876792,Fantasy
876792,Adventure
118406,Animation
118406,Fantasy
118406,Action
297,Fantasy
297,Drama
297,Romance
417320,Family
417320,Fantasy
417320,Adventure
10144,Animation
10144,Family
10144,Fantasy
21348,Fantasy
21348,Adventure
21348,Animation
21348,Family
2134,Thriller
2134,Adventure
2134,Fantasy
2134,Sci-Fi
2134,Romance
756,Animation
756,Family
756,Fantasy
831405,Animation
831405,Sci-Fi
831405,Fantasy
831405,Action
122917,Action
122917,Adventure
122917,Fantasy
25623,Comedy
25623,Fantasy
25623,Horror
17581,Fantasy
17581,Animation
17581,Action
493529,Adventure
493529,Fantasy
493529,Comedy
560057,Animation
560057,Adventure
560057,Action
560057,Family
560057,Fantasy
425909,Fantasy
425909,Comedy
425909,Adventure
755339,Comedy
755339,Drama
755339,Fantasy
755339,Family
809107,Fantasy
809107,Comedy
809107,Family
866,Drama
866,Fantasy
508947,Animation
508947,Family
508947,Comedy
508947,Fantasy
30061,Action
30061,Adventure
30061,Animation
30061,Sci-Fi
30061,Fantasy
892,Comedy
892,Sci-Fi
892,Fantasy
809,Animation
809,Family
809,Comedy
809,Fantasy
809,Romance
922,Drama
922,Fantasy
259316,Fantasy
259316,Adventure
26736,Family
26736,Adventure
26736,Comedy
26736,Fantasy
26736,Action
26736,Drama
13688,Comedy
13688,Drama
13688,Family
13688,Fantasy
13688,Sci-Fi
420814,Adventure
420814,Comedy
420814,Family
420814,Fantasy
118412,Animation
118412,Action
118412,Adventure
118412,Drama
118412,Fantasy
12902,Family
12902,Adventure
12902,Animation
12902,Comedy
12902,Fantasy
615666,Family
615666,Adventure
615666,Fantasy
451048,Fantasy
451048,Adventure
451048,Action
1491,Fantasy
1491,Drama
1491,Thriller
1491,Romance
420809,Family
420809,Fantasy
420809,Adventure
408220,Animation
408220,Action
408220,Adventure
408220,Fantasy
408220,Sci-Fi
408220,Horror
258230,Fantasy
258230,Adventure
258230,Family
34647,Fantasy
34647,Drama
1262,Drama
1262,Comedy
1262,Romance
1262,Fantasy
837335,Drama
837335,Fantasy
837335,Comedy
912598,Animation
912598,Adventure
912598,Sci-Fi
912598,Fantasy
2270,Adventure
2270,Fantasy
2270,Romance
2270,Family
1433,Fantasy
1433,Drama
1433,Horror
1433,Thriller
416494,Comedy
416494,Fantasy
416494,Sci-Fi
842924,Fantasy
842924,Drama
668461,Family
668461,Fantasy
668461,Comedy
1147400,Animation
1147400,Family
1147400,Action
1147400,Fantasy
323661,Animation
323661,Family
323661,Adventure
323661,Fantasy
13597,Adventure
13597,Family
13597,Fantasy
590223,Adventure
590223,Comedy
590223,Fantasy
590223,Sci-Fi
436343,Drama
436343,Romance
436343,Fantasy
2657,Fantasy
2657,Comedy
2657,Drama
285,Adventure
285,Fantasy
285,Action
766,Fantasy
766,Horror
766,Comedy
34134,Animation
34134,Family
34134,Fantasy
779,Horror
779,Fantasy
571468,Adventure
571468,Fantasy
571468,Drama
10150,Fantasy
10150,Animation
10150,Family
10150,Adventure
10501,Family
10501,Adventure
10501,Animation
10501,Comedy
10501,Fantasy
483980,Fantasy
483980,Comedy
483980,Romance
923939,Comedy
923939,Fantasy
923939,Drama
901362,Animation
901362,Family
901362,Fantasy
901362,Comedy
901362,Adventure
109445,Animation
109445,Family
109445,Adventure
109445,Fantasy
79707,Animation
79707,Adventure
79707,Fantasy
79707,Family
8844,Adventure
8844,Fantasy
8844,Family
75258,Animation
75258,Family
75258,Fantasy
75258,Adventure
465136,Romance
465136,Fantasy
446893,Family
446893,Animation
446893,Comedy
446893,Fantasy
446893,Adventure
902,Fantasy
902,Sci-Fi
902,Adventure
113082,Animation
113082,Action
113082,Adventure
113082,Fantasy
113082,Drama
113082,Horror
399055,Drama
399055,Fantasy
399055,Romance
330457,Family
330457,Animation
330457,Adventure
330457,Comedy
330457,Fantasy
251,Fantasy
251,Romance
251,Thriller
268,Fantasy
268,Action
268,Crime
899112,Action
899112,Comedy
899112,Fantasy
453395,Fantasy
453395,Action
453395,Adventure
16646,Drama
16646,Fantasy
9078,Animation
9078,Family
9078,Fantasy
5590,Fantasy
5590,Comedy
5590,Romance
116745,Adventure
116745,Comedy
116745,Drama
116745,Fantasy
10198,Animation
10198,Romance
10198,Fantasy
10198,Family
34584,Adventure
34584,Fantasy
34584,Family
34584,Drama
204436,Animation
204436,Romance
204436,Adventure
204436,Drama
204436,Fantasy
