movie_id,company_id,name,origin_country,logo_path
315465,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
315465,33677,Chukyo TV Broadcasting Company,JP,/85U2onICiQV9fMHORxw8EWSQ6MZ.png
122906,33,Universal Pictures,US,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png
122906,7295,Relativity Media,US,/5MYE96QiE5a5oFhXxFb4y8ILSpw.png
122906,10163,Working Title Films,GB,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png
14836,11537,LAIKA,US,/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png
14836,8915,Pandemonium,US,
671,174,Warner Bros. Pictures,US,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
671,437,Heyday Films,GB,/nu20mtwbEIhUNnQ5NXVhHsNknZj.png
671,436,1492 Pictures,US,/A7WCkG3F0NFvjGCwUnclpGdIu9E.png
615453,17818,Beijing Enlight Pictures,CN,/tqImejhMUsOuuKCX2cySzaO7QTj.png
615453,121042,Horgos Coloroom Pictures,CN,/c8y6syie4YoN4Pzz62Lvu11UNz0.png
615453,153486,October Media,CN,/389mBiWxOR04XM8233qcRFfx9TN.png
615453,167789,Chengdu Coco Cartoon,CN,
916224,3756,CoMix Wave Films,JP,/t38uPdbKmyBB8brKKeTFWIwojRz.png
916224,128616,Story,JP,/cjmwexOzetWZa8QKy447NMrM6MG.png
916224,104184,Lawson Entertainment,JP,/reEBh8dBl2y1DbXe2EdgxtMtaim.png
916224,8157,jeki,JP,/pEqcMX1aG3JvtDgfh2wNZJLCcb4.png
916224,128617,voque ting,JP,
916224,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
916224,2883,Aniplex,JP,/rDYExnBV61jGQnkhVVrPN4Yl7O1.png
916224,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
183011,2785,Warner Bros. Animation,US,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png
183011,429,DC,US,/4Y00XuSMuP1gimd0jP6JT57QbCI.png
183011,4811,Warner Premiere,US,/7xym5CnL4LcMPaWpp51cN1v73AR.png
667520,20556,Studio Colorido,JP,/ykMSMe47GblevqgtJhMk3dJ7i7S.png
667520,3341,Fuji Television Network,JP,/dTG5dXE1kU2mpmL9BNnraffckLU.png
667520,120469,Twin Engine,JP,/bm5DrqAdNW3dlHsCTUntcmGkLhV.png
667520,64421,Fuji Creative Corporation,JP,/mB7zlD6FiYd0j0AtQ9AGyPbyAUA.png
667520,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
667520,11848,KDDI,JP,/A3abKfh7dXwPdXJc3A551q8XnOC.png
667520,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
667520,59206,BS Fuji,JP,/oMtJVGvqLAyQZvYTvjDIcbVEzwD.png
667520,221037,Dentsu Meitetsu Communications,JP,/c270dqVwNack5Tzxl4U8Ji4Vpkx.png
505262,2849,BONES,JP,/cN3JNIKawjOMtfk0GBVIbsx69bg.png
505262,11727,Yomiuri Telecasting Corporation,JP,/cIMyE9cw1W4kMFGxmC17HKTnVz9.png
505262,2918,Shueisha,JP,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png
505262,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
505262,1778,dentsu,JP,/b5rT6VbYza3LyfltCmz1OcqzWJM.png
505262,648,Sony Music Entertainment (Japan),JP,/s811As3dkcqSgl4nEWEVYfJVVxh.png
505262,3466,movic,JP,/lmCg0zarmM52wrmsZRUY0QlPKLh.png
505262,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
