movie_id,title,release_date,rating,popularity,release_year,genres,category
9327,The Nutty Professor,1996-06-28,5.6,4.2746,1996,"Fantasy, Comedy, Romance, Sci-Fi",Fantasy Epic
14239,Cool World,1992-07-10,5.6,3.1826,1992,"Animation, Comedy, Fantasy",Fantasy Epic
420950,Alone,2017-02-08,5.6,2.128,2017,"Fantasy, Sci-Fi, Horror, Family",Dark Fantasy
9703,The Last Legion,2007-04-19,5.6,3.1184,2007,"Action, Adventure, Fantasy",Sword and Sorcery
10610,The Medallion,2003-08-15,5.6,4.0939,2003,"Thriller, Fantasy, Action, Comedy",Dark Fantasy
1091181,Family Pack,2024-10-22,5.6,2.787,2024,"Adventure, Comedy, Fantasy, Action, Family",Fantasy Epic
457943,Slaughterhouse Rulez,2018-10-31,5.6,2.4977,2018,"Comedy, Horror, Action, Fantasy",Dark Fantasy
9334,The Scorpion King,2002-04-18,5.6,5.2579,2002,"Action, Adventure, Fantasy",Sword and Sorcery
1250,Ghost Rider,2007-01-15,5.6,10.8379,2007,"Thriller, Action, Fantasy",Dark Fantasy
602211,Fatman,2020-10-19,5.6,3.2738,2020,"Action, Fantasy, Comedy",Sword and Sorcery
2698,Evan Almighty,2007-06-09,5.6,4.8431,2007,"Fantasy, Comedy, Family",Fantasy Epic
9954,The Covenant,2006-09-07,5.6,5.322,2006,"Fantasy, Horror, Adventure, Action",Dark Fantasy
456740,Hellboy,2019-04-10,5.6,4.9357,2019,"Fantasy, Horror, Action, Adventure",Dark Fantasy
16300,Down to Earth,2001-02-16,5.6,2.7027,2001,"Fantasy, Comedy, Romance",Fantasy Epic
74461,Knights of Badassdom,2014-01-21,5.6,2.0467,2014,"Adventure, Fantasy, Horror, Comedy",Dark Fantasy
13025,Diary of the Dead,2007-05-26,5.6,2.2585,2007,"Horror, Fantasy, Sci-Fi, Thriller",Dark Fantasy
9697,Lady in the Water,2006-07-19,5.6,2.4442,2006,"Drama, Fantasy",Fantasy Epic
421792,Down a Dark Hall,2018-08-01,5.5,2.3443,2018,"Horror, Thriller, Fantasy, Drama",Dark Fantasy
6589,Underdog,2007-08-03,5.5,3.6073,2007,"Family, Action, Adventure, Comedy, Fantasy, Sci-Fi",Fantasy Epic
47327,Drive Angry,2011-02-24,5.5,6.1183,2011,"Fantasy, Thriller, Action, Crime",Dark Fantasy
475430,Artemis Fowl,2020-05-29,5.5,4.7388,2020,"Adventure, Fantasy, Sci-Fi, Family",Fantasy Epic
23047,Season of the Witch,2011-01-07,5.5,4.9232,2011,"Adventure, Fantasy, Action",Sword and Sorcery
282035,The Mummy,2017-06-06,5.5,11.5731,2017,"Fantasy, Thriller, Action, Adventure, Horror",Dark Fantasy
68737,Seventh Son,2014-12-12,5.5,5.0562,2014,"Adventure, Fantasy",Fantasy Epic
1735,The Mummy: Tomb of the Dragon Emperor,2008-07-01,5.5,13.5055,2008,"Adventure, Action, Fantasy",Sword and Sorcery
46441,Mirrors 2,2010-10-18,5.5,1.6884,2010,"Horror, Fantasy",Dark Fantasy
11817,Bulletproof Monk,2003-03-28,5.5,3.4119,2003,"Action, Comedy, Fantasy",Sword and Sorcery
10546,The Crow: City of Angels,1996-08-29,5.5,1.9236,1996,"Action, Fantasy, Thriller",Dark Fantasy
1499,Teenage Mutant Ninja Turtles III,1993-03-17,5.5,3.2855,1993,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Fantasy Epic
7840,"10,000 BC",2008-03-04,5.5,5.008,2008,"Adventure, Action, Drama, Fantasy",Sword and Sorcery
9067,Tank Girl,1995-03-31,5.5,2.8274,1995,"Action, Comedy, Sci-Fi, Fantasy",Sword and Sorcery
